Date,comment,text_clean,like,Label
2026-01-08T00:17:37Z,"intinya, sebelum masuk Venezuela, mereka adudomba dulu. Agar sebagian warga Venezuela percaya dan membenarkan tindakan Trump. jadi saat US masuk, paling tidak didukung sebagian warga venezuela. Sama spt Indo, kini di adu domba dulu. mereka masuk melalui yg kalah pemilu, bisa jadi bila Trump ambil Prabowo, yg selalu nyinyir akan membenarkan nya. Buktinya, demi Ambisi rela mengolok2 Mantan Presiden sampai ke LN. Lihat Siapa yg Goblok??. Tapi TNI, POLRI dan warga yg setia NKRI, senantiasa bersama merah putih, dan tdk ikut Goblok.",inti masuk venezuela adudomba warga venezuela percaya benar tindak trump masuk dukung warga venezuela spt indo adu domba masuk kalah milu trump ambil prabowo nyinyir benar bukti ambisi rela mengolok2 mantan presiden lihat goblok tni polri warga setia nkri senantiasa merah putih goblok,0,Negatif
2026-01-07T17:33:57Z,Yg penting rakyatnya bahagia...setelah presidennya ditangkap???,rakyat bahagia presiden tangkap,2,Positif
2026-01-07T17:00:03Z,saddam jilid 2,saddam jilid,0,Negatif
2026-01-07T16:55:36Z,mcm tu lah juga sbb kenapa rusia serang ukrain.. Us tknk vanuezela rpt ngn msuh us,mcm sbb rusia serang ukrain tknk vanuezela rpt ngn msuh,0,Netral
2026-01-07T14:10:40Z,Ternyata jagonya tidak di film saja,jago film,0,Netral
2026-01-07T14:07:54Z,"Pemimpin kocak dan rakus ya gitu,, bentar lgi akan ada pemimpin dri negara lain yg nyusul (mungkin)",pimpin kocak rakus gitu bentar lgi pimpin dri negara nyusul,0,Negatif
2026-01-07T13:34:18Z,Ayo Amerika tangkap juga koruptor kelas kakap di Indonesia. Segera kirim FBI dan CIA. Biar para koruptor di Indonesia ini gemetar,ayo amerika tangkap koruptor kelas kakap indonesia kirim fbi cia biar koruptor indonesia gemetar,0,Positif
2026-01-07T12:39:07Z,Amerika penegak keadilan ? . Tuhan yesus memberkati Amerika &amp; israel ??,amerika tegak adil tuhan yesus kati amerika amp israel,0,Positif
2026-01-07T11:26:19Z,"<b>DUNIA GAK ADA TRUMP GAK RAME</b><br><b>I ? YOU TRUMP ??</b><br><b>Presiden NO omon²</b><br>Hidup jokowerr., hidup jokowerr...!!",dunia gak trump gak rame you trump presiden omon hidup jokowerr hidup jokowerr,0,Positif
2026-01-07T10:30:03Z,U.S negara fitnah terbesar,negara fitnah besar,0,Negatif
2026-01-07T07:45:01Z,Alasan meng ada ada .padahal tujuan nya meng infasi ..untuk mengeruk minyak...di Venezuela..,alas meng tuju meng infasi keruk minyak venezuela,0,Negatif
2026-01-07T07:37:32Z,"Irak di serang isu senjata kimia, senjata pemusnah massa, <br>Venezuela di serang krn narkoba, <br>Lagu lama ametika",irak serang isu senjata kimia senjata musnah massa venezuela serang narkoba lagu ametika,0,Negatif
2026-01-07T07:09:44Z,Terhina di tanah afganistan.dengan alasan memerangin terorisme..tentara Amerika pulang dengan kehinaan,hina tanah afganistan alas perangin terorisme tentara amerika pulang hina,0,Negatif
2026-01-07T05:01:05Z,Ga tnggung 2  membajak  satu negara inilh penting nya adanya peyeimbng .,tnggung bajak negara inilh peyeimbng,0,Negatif
2026-01-07T03:34:14Z,Konoha aman karena nurut ??,konoha aman nurut,0,Netral
2026-01-07T02:38:23Z,Negara yang berkuasa dpt melakukan apapun sesuka hati,negara kuasa dpt apa suka hati,0,Negatif
2026-01-07T02:37:23Z,"Selagi bertujuan untuk memakmurkan rakyat nya,saya anggap itu positif.",selagi tuju makmur rakyat anggap positif,0,Positif
2026-01-07T00:31:41Z,Perang terus....gak guna ada PBB,perang gak pbb,0,Negatif
2026-01-07T00:04:46Z,Harusnya ormas madas berangkat ke venezuela,ormas madas berangkat venezuela,0,Negatif
2026-01-06T23:43:24Z,???? Fuego ....,fuego,0,Netral
2026-01-06T23:32:18Z,incaran AS selanjutnya Ibrahim Traore.,incar ibrahim traore,0,Netral
2026-01-06T22:59:06Z,Penghianat yang menghancurkan pertahanan suatu negara.,penghianat hancur tahan negara,0,Negatif
2026-01-06T20:13:34Z,"negara banyak propaganda, banyak tingkah... memang sih dia kuat, tp tdk dgn tindakan semena²... kurang banyak apa lagi negara gila ini...",negara propaganda tingkah kuat dgn tindak semena negara gila,0,Negatif
2026-01-06T19:19:59Z,AS INGIN MENJAJAH VENEZUELA KARENA MINYAKNYA SAMA HALNYA PALESTINA DAN IRAQ ABIS GINI CANADA DI KUASAI AS MEMALUKAN AS PENCURI DASAR PENJAJAH????ACUIHHHH????????,jajah venezuela minyak hal palestina iraq abis gin canada kuasa malu curi dasar jajah acuihhhh,1,Negatif
2026-01-06T18:58:29Z,Hhhhhhhhaaa mamaruka dah haus solar??????,hhhhhhhhaaa mamaruka dah haus solar,0,Negatif
2026-01-06T17:59:36Z,Venezuela tidak perlu jual narkoba karena cadangan minyak mereka sudah cukup untuk memakmurkan??,venezuela jual narkoba cadang minyak makmur,0,Netral
2026-01-06T17:42:37Z,"Capek gua bingung mau percaya yg mana, semua bikin pusing.. fitnah akhir jaman",capek gua bingung percaya bikin pusing fitnah jaman,0,Netral
2026-01-06T15:44:51Z,"?? tudingan tanpa bukti seperti yg dilakukan dengan sadam husein presiden iraq. mirip persis, dimana sadam husein dituding sedang mengembangkan senjata pemusnah masal dan faktanya sampe sekarang tidak terbukti , bukti nyata AS mengambil semua hasil minyak iraq. emang kadal nih as",tuding bukti sadam husein presiden iraq persis mana sadam husein tuding kembang senjata musnah masal fakta sampe bukti bukti nyata ambil hasil minyak iraq emang kadal,0,Negatif
2026-01-06T15:21:02Z,dari dulu amerika adalah biang kerok,amerika biang kerok,0,Negatif
2026-01-06T14:47:29Z,"Yg penting tangkap dulu.... Bukti nanti bisa daiatur...., licik nya Donald bebek....",tangkap bukti daiatur licik donald bebek,0,Negatif
2026-01-06T14:07:50Z,TUDUHAN BOHONG...INGAT TUDUHAN PADA SADDAM HUSEN...TIDAK TERBUKTI...TUDUHAN PADA MANDURO JUGA KARANGAN BOHONG SI TRUMP......,tuduh bohong tuduh saddam husen bukti tuduh manduro karang bohong trump,0,Negatif
2026-01-06T14:04:13Z,Itulah tujuannya negara adidaya yg berkekuatan Militer.. Tujuannya hanya untuk merampok,tuju negara adidaya kuat militer tuju rampok,0,Negatif
2026-01-06T13:40:29Z,"USA lama2 sok2an, dia merasa paling hebat di bumi ini",usa lama2 sok2an hebat bumi,0,Negatif
2026-01-06T13:35:35Z,Amerika negara barbar... Demokrasi cuma jargon doang. <br><br>Rakyat Amerika haruselawan rezim yg sekarang berkuasa atau akan jadi musuh dunia,amerika negara barbar demokrasi jargon doang rakyat amerika haruselawan rezim kuasa musuh dunia,0,Negatif
2026-01-06T13:19:21Z,Trumph nah loe malah penjahat perang disemta belahan dunia sadar hey firaun,trumph loe jahat perang disemta bahan dunia sadar hey firaun,0,Negatif
2026-01-06T13:14:57Z,Bisa saja warga Amerika diseluruh dunia di culik warga Venezuela untuk ditukar. Draw,warga amerika seluruh dunia culik warga venezuela tukar draw,0,Negatif
2026-01-06T13:11:09Z,Bangsa Amerika diam dengan perbuatan binatang Trump presiden mereka...Bangsa berkepala Babi rakus .jorok .dan ngak punya malu...New Hitler telah lahir dari bangsa berkepala babi ..Rakus .ngak punya adab dan malu..dasar babi...,bangsa amerika diam buat binatang trump presiden bangsa kepala babi rakus jorok ngak malu new hitler lahir bangsa kepala babi rakus ngak adab malu dasar babi,0,Negatif
2026-01-06T13:08:14Z,"karena ada minyak dan pengen dikuasai, susah banget sih pakai alesan macam2",minyak ken asai susah banget pakai alesan macam2,0,Sentimen
2026-01-06T13:03:50Z,ini hal yang sama seperti belanda menjajah Indonesia,belanda jajah indonesia,0,Negatif
2026-01-06T11:40:42Z,"Kenapa tdk perang dulu ,,,",perang,0,Netral
2026-01-06T10:36:16Z,"amerika menjadikan cerita kelam colombia sebagai dasar menangkap presidennya sangat lucu, apakah kalian ingat sesuatu yang saya maksud??????",amerika jadi cerita kelam colombia dasar tangkap presiden lucu maksud,0,Negatif
2026-01-06T08:14:16Z,Donald Trump dulu suka merusak negara orang..,donald trump suka rusak negara orang,0,Negatif
2026-01-06T07:28:15Z,"Keliatan mengada ngada tudingannya. Bilang aja negara kaya minyak, lamgsung serakahmya keluar.",liat ada ngada tuding bilang negara kaya minyak lamgsung serakahmya,0,Negatif
2026-01-06T07:12:47Z,Alasan tak berdasar..,alas dasar,0,Negatif
2026-01-06T07:04:49Z,Kira2 presiden indonesia bakal diginiin juga enggak sama amerika?,kira2 presiden indonesia diginiin amerika,0,Netral
2026-01-06T06:59:03Z,Kapan nyerang Pejabat Indonesia? Dan Menculik G..... Brani,nyerang jabat indonesia culik brani,0,Negatif
2026-01-06T06:34:43Z,Semoga narkoba musnah di muka bumi,moga narkoba musnah muka bumi,0,Positif
2026-01-06T05:35:03Z,"Bangsa Venezuela tak punya harga diri, president di tangkap diam saja.. Bagaimana jika terjadi dengan di Indonesia, apakah rakyat akan mendukung presiden nya?",bangsa venezuela harga president tangkap diam indonesia rakyat dukung presiden,0,Negatif
2026-01-06T03:38:23Z,"orang kafir isi kepala hanya dunia, padahal udah dicontoh kan sama firaun",orang kafir isi kepala dunia udah contoh firaun,0,Netral
2026-01-06T02:30:09Z,"WNI Yg membela sipenjajah yg bernafsu merampok Minyak negara lain, makhluk ini harus KELUAR DARI WNI Karena kau juga penjajah pendukung penjajah",wni bela sipenjajah nafsu rampok minyak negara makhluk wni kau jajah dukung jajah,0,Negatif
2026-01-06T02:30:03Z,Knapa dunia selalu diam ???,knapa dunia diam,0,Negatif
2026-01-06T02:20:40Z,"Anjiiiiirrr... Negara adikuasa mah dari dulu juga bebas mau ngapain juga<br>Obrak abrik Libya, bunuh presiden Irak... Dll <br>Nanti tinggal propaganda semua tindakan diperlukan untuk keamanan dunia<br>Mau kyak gitu? Jadi dulu negara superpower baru boleh... Klo masih jadi negara berkembang apalagi terbelakang udah nonton aja dulu",anjiiiiirrr negara adikuasa mah bebas ngapain obrak abrik libya bunuh presiden irak dll tinggal propaganda tindak aman dunia kyak gitu negara superpower klo negara kembang belakang udah nonton,0,Negatif
2026-01-06T02:12:02Z,"Trump cuma berani sama negara kecil, tapi kaya minyak...????????",trump berani negara kaya minyak,0,Negatif
2026-01-06T01:56:58Z,Apa gk menginginkan minyaknya divenezuela? Trik lama biar bisa menyalahkan??,minyak divenezuela trik biar salah,0,Negatif
2026-01-06T01:04:10Z,Untung bukan presiden kohona,untung presiden kohona,0,Negatif
2026-01-05T23:52:57Z,Alasan Utama ?? Cadangan Minyak,alas utama cadang minyak,0,Netral
2026-01-05T23:40:10Z,"Presiden yg brutal memang harus ditangkap, apalagi dia koruptor dan menyengsarakan rakyatnya",presiden brutal tangkap koruptor sengsara rakyat,0,Negatif
2026-01-05T23:17:14Z,Negara itu keropos dari awal. Artinya rakyat disana ga sudi di pimpin maduro.,negara keropos rakyat sana sudi pimpin maduro,0,Positif
2026-01-05T23:13:43Z,karena presiden venez seorang decul??,presiden venez decul,0,Netral
2026-01-05T23:09:19Z,Giliran berikut Amerika menyasar Indonesia?,gilir amerika sasar indonesia,0,Negatif
2026-01-05T23:07:32Z,afganistan 2.0 ??,afganistan,0,Netral
2026-01-05T22:37:35Z,Trump orang jahat,trump orang jahat,0,Negatif
2026-01-05T21:54:31Z,PERAMPOK sesungguhnya AS,rampok sungguh,0,Negatif
2026-01-05T21:39:53Z,"Pimpinan negara kayak pimpinan geng, makanya president ini mudah di culik ( di kasikan)",pimpin negara kayak pimpin geng president mudah culik kasi,0,Negatif
2026-01-05T20:25:32Z,Mantap Trump,mantap trump,0,Negatif
2026-01-05T20:17:22Z,Ini mah propagandanya Amerika Serikat ..... Yang intinya agar penjualan senjata di Amerika terjual,mah propaganda amerika serikat inti jual senjata amerika jual,0,Positif
2026-01-05T19:44:32Z,Penjahat ?????? amerika??,jahat amerika,0,Negatif
2026-01-05T19:23:11Z,"T3ror1s perompak p3nj4j4h...,negara hina pencuri SDA. <br>Mereka jelas melanggar kedaulatan negara Venezuela.",t3ror1s perompak p3nj4j4h negara hina curi sda langgar daulat negara venezuela,0,Negatif
2026-01-05T18:46:53Z,PBB MANA NIH?? NEGARA  BERDAULAT D SERANG??INDONESIA HATI HATI JUGA GK JAMIN BERDAULAT GK PERANG,pbb negara daulat serang indonesia hati hati jamin daulat perang,0,Negatif
2026-01-05T18:22:45Z,Sekelas presiden di tangkap presiden dengan menginfasi nya... Kejam sekali amiriki ini,kelas presiden tangkap presiden menginfasi kejam amiriki,0,Negatif
2026-01-05T18:16:45Z,Minyak tujuan utama trompet,minyak tuju utama trompet,0,Negatif
2026-01-05T18:16:10Z,Gak kaget karna emng udah di prediksi sama nabi. Spesifikasi  tentara dadzal ter besar pasti dari Amerika.. Kekuatan pertahanan terkuat di dunia ya Amerika..,gak kaget karna emng udah prediksi nabi spesifikasi tentara dadzal ter amerika kuat tahan kuat dunia amerika,0,Negatif
2026-01-05T18:12:51Z,"Maaf  Amerika penjahat dunia. Dulu Sadam Husein. Sekarang dia tangkap Presiden Venezuela. Besok besok dia mau tangkap siapa lagi. Suka suka AS menuduh negara lain, itu hanya alasan dia mau menguasai ladang minyak dgn cara brutal dan merampasnya. Kapan negara di dunia ini kompak menjatuhkan sanksi ke Amerika.",maaf amerika jahat dunia sadam husein tangkap presiden venezuela besok besok tangkap suka suka tuduh negara alas kuasa ladang minyak dgn brutal rampas negara dunia kompak jatuh sanksi amerika,0,Negatif
2026-01-05T18:11:18Z,"Maaf kata Amerika penjahat dunia. Dulu Sadam Husein. Sekarang dia tangkap Presiden Venezuela. Besok besok dia mau tangkap siapa lagi. Suka suka AS menuduh negara lain, itu hanya alasan dia mau menguasai ladang minyak dgn cara brutal dan merampasnya. Kapan negara di dunia ini kompak menjatuhkan sanksi ke Amerika.",maaf amerika jahat dunia sadam husein tangkap presiden venezuela besok besok tangkap suka suka tuduh negara alas kuasa ladang minyak dgn brutal rampas negara dunia kompak jatuh sanksi amerika,0,Negatif
2026-01-05T17:57:52Z,mending riset sendiri drpa langsung percaya sebuah berita.,mending riset drpa langsung percaya berita,0,Netral
2026-01-05T17:43:02Z,Dedollarization worldwide... Boycott USA product.,dedollarization worldwide boycott usa product,0,Negatif
2026-01-05T17:41:55Z,THE &quot;NEO IMPERIALIST&quot; AND &quot;REAL TERRORIST&quot;,the quot neo imperialist quot and quot real terrorist quot,0,Negatif
2026-01-05T17:22:59Z,Difitnah kah ini seperti Sadam Husein?,fitnah sadam husein,0,Negatif
2026-01-05T17:17:56Z,Indonesia nangkap Silvester aja ngak bisa????.<br>Jangan cuman  tangkap Maduro pak.<br>Nitip pejabat² Korup Indonesia tolong ditangkap²in dan dimuskahkan??,indonesia nangkap silvester ngak cuman tangkap maduro nitip jabat korup indonesia tolong tangkap dimuskahkan,0,Positif
2026-01-05T17:12:37Z,"Ini bukan soal politik, ini soal kriminalitas. AS punya kewajiban melindungi warganya dari ribuan ton kokain yang diselundupkan oleh rezim Maduro. Jika seorang presiden bertindak seperti bos kartel, dia harus diperlakukan seperti kriminal, bukan diplomat",politik kriminalitas wajib lindung warga ribu ton kokain selundup rezim maduro presiden tindak bos kartel laku kriminal diplomat,2,Positif
2026-01-06T13:40:35Z,Betull,betull,0,Netral
2026-01-05T17:09:12Z,Kl bgtu.. Andai di Indonesia ada penjahat besar yg di tuduhkan as.. Maka ad boleh menangkap Prabowo.... ????<br>Ini logikanya dimana.... ????,bgtu andai indonesia jahat tuduh tangkap prabowo logika mana,0,Negatif
2026-01-05T17:07:24Z,Alasan prrtama.. Mengada ada.. Apa hubungannya dengan mencaplok negara yg berdaulat,alas prrtama ada hubung caplok negara daulat,0,Negatif
2026-01-05T16:36:33Z,Lihatlah di ruangan komentar betapa ramainya penganut tuhan berkontol dari romawi yang membela saudaranya menjajah ????????,lihat ruang komentar betapa ramai anut tuhan kontol romawi bela saudara jajah,0,Negatif
2026-01-05T16:20:50Z,SADAM???,sadam,0,Netral
2026-01-05T16:17:30Z,Amerika dah bangkrut Dan buntu mau lawan china sekutu pake apa lagi.. Hahahaha...,amerika dah bangkrut buntu lawan china sekutu pake hahahaha,0,Negatif
2026-01-05T15:44:36Z,oh mamarika mamarika semua orang jg tahu klo cadangan minyak bumi venezuela terbesar didunia,mamarika mamarika orang klo cadang minyak bumi venezuela besar dunia,0,Negatif
2026-01-05T15:30:10Z,PENDUDUK DUNIA (SELAIN ????DAN????) HARUS BISA JADI MONSTER YANG MAMPU MEMUSNAHKAN ????DAN???? !,duduk dunia monster musnah,0,Negatif
2026-01-05T15:29:11Z,Amerika dan Israel di bolehkan melanggar hukum internasional negara lain saja tidak boleh ???? dasar penjajah,amerika israel boleh langgar hukum internasional negara dasar jajah,0,Negatif
2026-01-05T15:26:47Z,Saya sebut as sangat sangat munafik.,munafik,0,Negatif
2026-01-05T15:25:51Z,Rusia??????Cina??????Korea utara??????Iran??????Pakistan??????Indonesia??????Kuba??????Venezuela??????Belarusia??????Palestina????,rusia cina korea utara iran pakistan indonesia kuba venezuela belarusia palestina,0,Netral
2026-01-05T14:54:58Z,Irak ke 2,irak,0,Negatif
2026-01-05T14:24:23Z,Tentaranya pada sedang melakukan apa kok sampai tidak tahu kalau ada serangan dari luar,tentara serang,0,Negatif
2026-01-05T14:11:47Z,"Perampok minyak dan sumber alam Venezuela, Irak dulu di tuduh miliki nuklir, ending rampok dan kuasai minyak irak",rampok minyak sumber alam venezuela irak tuduh milik nuklir ending rampok kuasa minyak irak,0,Negatif
2026-01-05T13:57:14Z,"Ksian bgt Venezuela, pokonya biang kerok dunia dah mamarika nih, minyak Venezuela kan bnyk, sma lh ky d Iraq, udah permainan lama, pasti nuding ini itu, ksian bgt sih ngara2 latin tuh, pasti udah d kuasai ma amrik",ksi banget venezuela poko biang kerok dunia dah mamarika minyak venezuela bnyk sma iraq udah main nuding ksi banget ngara2 latin udah kuasa amrik,1,Negatif
2026-01-05T13:56:54Z,Rampok internasional ??,rampok internasional,0,Negatif
2026-01-05T13:45:44Z,Top Amerika. Sekalian cina tuh produksen sabu terbesar.,top amerika cina produksen sabu besar,0,Netral
2026-01-05T13:36:29Z,"Masyarakat internasional jangan hanya berkoar koar, tangkap semua perwakilan Amerika di negara non Amerika tangkap dan bloksde perdagangannya",masyarakat internasional koar koar tangkap wakil amerika negara non amerika tangkap bloksde dagang,0,Negatif
2026-01-05T13:22:00Z,Negara miskin didunia adalah as,negara miskin dunia,0,Negatif
2026-01-05T13:16:26Z,Dan rakyat Venezuela malah bergembira merayakan atas penangkapan presiden nya oleh Amerika...<br>Hati2 nanti kayak Sadam Husen difitnah...ketika Saddam Hussein meninggal rakyat nya baru menyesal bahwa sesungguhnya Saddam itu melindungi rakyatnya tapi difitnah oleh barat..,rakyat venezuela gembira raya tangkap presiden amerika hati2 kayak sadam husen fitnah saddam hussein tinggal rakyat sesal sungguh saddam lindung rakyat fitnah barat,0,Negatif
2026-01-05T13:15:12Z,Konsep mirip sama sadam Husein Irak. Bayangkan negara tanpa presiden makin gak jelas.,konsep sadam husein irak bayang negara presiden gak,0,Negatif
2026-01-05T13:01:58Z,"Alasan sebenarnya adalah untuk menyamun harta kekayaan Venezuela. Sama seperti yg d buat d Iraq, Suriah dan Libya.",alas samun harta kaya venezuela iraq suriah libya,0,Negatif
2026-01-05T12:54:10Z,lagi2..AS butuh minyak..????,lagi2 butuh minyak,0,Negatif
2026-01-05T12:48:17Z,"negara yg berani lawan as cuma 3 negara aja.<br>rusia,korut,cina<br>udah itu doang.",negara berani lawan negara rusia korut cina udah doang,0,Netral
2026-01-05T12:44:01Z,Amerika lah penjahat di dunia ini,amerika jahat dunia,0,Negatif
2026-01-05T12:35:18Z,"Cadangan migas dan mineral penting strategis, besar ga? Itu yang utama. Harus untung besar kalau mau invasi langsung / tidak langsung (boneka) dan kuasai SDA nya<br><br>Apa kabar Mexico, Kolombia, Bolivia diantara pemasok terbesar ke US. Atau Myanmar di Asia. Ga menguntungkan bila di invasi langsung / tidak langsung (boneka), migas dan mineral penting strategis nya sedikit",cadang migas mineral strategis utama untung invasi langsung langsung boneka kuasa sda kabar mexico kolombia bolivia pasok besar myanmar asia untung invasi langsung langsung boneka migas mineral strategis,0,Negatif
2026-01-05T12:33:55Z,Amerika Serikat ini sok jadi polisi Dunia,amerika serikat sok polisi dunia,0,Negatif
2026-01-05T12:32:13Z,"Kalau alasannya harusnya mexico juga dong? Kenapa ga mau nyerang mexico? Padahal jelas sumber pemasok narkoba, perdagangan manusia, imigran terbanyak di amerika itu mexico, kenapa ge nyerang mexico???",alas mexico nyerang mexico sumber pasok narkoba dagang manusia imigran amerika mexico nyerang mexico,0,Netral
2026-01-05T12:25:51Z,"Trump bisa membubarkan WC 2026..... <br>Kalau FIFA tegas... segera cabut hak tuan rumah USA, dan segera cari pengganti...",trump bubar 2026 fifa cabut hak tuan rumah usa cari ganti,0,Negatif
2026-01-05T12:23:30Z,sudahlah ga usah di perdebatkan...yang kuat  + Licik yg menang dimanapun itu.....maka belajarlah yg giat dan jangan lupa untuk bisa menjadi kebal...karena kebal adalah senjata utama...??????,debat kuat licik menang mana bajar giat lupa kebal kebal senjata utama,0,Netral
2026-01-05T12:21:14Z,Amerika 90an : demokrasi <br>Amerka now : imigran dan kartel<br><br>Ujung-ujungnya OIL juga kan,amerika 90an demokrasi amerka now imigran kartel ujung ujung oil,0,Negatif
2026-01-05T12:16:56Z,"Yang benci AS ,apapun alasan yang di berikan AS tetap mereka ngx akan percaya",benci apa alas ngx percaya,0,Netral
2026-01-05T12:11:13Z,Kenapa kartel di meksiko yg lebih luar biasa mengerdarkan di amerika yg sdah lwbih lama dari maduro tdak di basmi juga seperti ini dg mudah oleh amerika,kartel meksiko mengerdarkan amerika sdah lwbih maduro tdak basmi mudah amerika,0,Negatif
2026-01-05T12:08:30Z,As ga ada kerjaan??,kerja,0,Negatif
2026-01-05T12:06:55Z,Irak isasi venezuela,irak isasi venezuela,0,Negatif
2026-01-05T12:05:46Z,Gila Amerika nangkap pemimpin negara seenak jidat..<br>Tangkap trump melanggar HAM,gila amerika nangkap pimpin negara enak jidat tangkap trump langgar ham,0,Negatif
2026-01-05T11:58:52Z,Venezuela itu kebanggaan para ateis sekrng di azab oleh Allah SWT,venezuela bangga ateis sekrng azab allah swt,0,Negatif
2026-01-05T11:58:01Z,"Emang dasar penjajah, yg bangga sama Amerika sama bejatnya.",emang dasar jajah bangga amerika bejat,0,Negatif
2026-01-05T11:56:03Z,America pingin menguasai minyak di Veneszuela,america pingin kuasa minyak veneszuela,0,Negatif
2026-01-05T11:44:16Z,S trum kampret.. bnyk bnget alasan.. sdngk d negara&#39;y aja orng2 lgi nyabu GK DA tindakn d tangkap tau gimna.  Mlh nyalahin negara orng,trum kampret bnyk bnget alas sdngk negara orng2 lgi nyabu tindakn tangkap tau gimna mlh nyalahin negara orng,0,Negatif
2026-01-05T11:30:24Z,Gara gara minyak,gara gara minyak,0,Negatif
2026-01-05T11:28:35Z,Presiden bisa di culik dengan mudah... Sedangkan osama bin laden aja as ga bisa nangkep hidup hidup butuh wkt panjang buat nangkep atau bunuh osama bin laden. Nah ini presiden bisa gampang bgt dia culik. Udah pasti ada penghianat tuh di pemeritahan vezuela,presiden culik mudah osama bin laden nangkep hidup hidup butuh wkt nangkep bunuh osama bin laden presiden gampang banget culik udah penghianat pemeritahan vezuela,0,Negatif
2026-01-05T11:17:13Z,Minyak itu. Pola nya gitu gitu za,minyak pola gitu gitu,0,Negatif
2026-01-05T11:13:02Z,Tram harus di adili di PBB.karna sudah melanggar,tram adil pbb karna langgar,0,Negatif
2026-01-05T11:03:46Z,Jelas ini perampokan terang terangan,ampo terang terang,0,Negatif
2026-01-05T10:59:39Z,"Keren si Amerika, melanggar tpi gada negara yg berani, palingan cuma berani mengecam mengecam tindakan Amerika doang wkwk",keren amerika langgar tpi gada negara berani paling berani kecam kecam tindak amerika doang wkwk,0,Negatif
2026-01-05T10:41:48Z,Biadap mengacak-acak negara orang,biadap acak acak negara orang,0,Negatif
2026-01-05T10:37:52Z,Propaganda ini jika tanpa bukti,propaganda bukti,0,Negatif
2026-01-05T10:31:05Z,Kemana pasukan pengamanan presiden ?,mana pasu aman presiden,0,Netral
2026-01-05T10:27:31Z,Russia bisa apa?? Cmn diem aja kh,russia cmn diem,0,Netral
